SourceFile,FileName,DateTimeOriginal,CreateDate,ModifyDate,FileModifyDate
F:/2025/arezzo/Abbandonato.mp4,Abbandonato.mp4,,2025:10:20 12:07:30,2025:10:20 12:07:30,2026:01:17 23:54:32+01:00
F:/2025/arezzo/IMG-20250620-WA0030.jpg,IMG-20250620-WA0030.jpg,2025:06:20 12:00:00,2025:06:20 12:00:00,2025:06:20 12:00:00,2026:01:17 23:52:50+01:00
F:/2025/arezzo/IMG-20250620-WA0031.jpg,IMG-20250620-WA0031.jpg,2025:06:20 12:00:00,2025:06:20 12:00:00,2025:06:20 12:00:00,2026:01:17 23:54:36+01:00
F:/2025/arezzo/IMG-20250707-WA0016.jpg,IMG-20250707-WA0016.jpg,2025:07:07 12:00:00,2025:07:07 12:00:00,2025:07:07 12:00:00,2026:01:17 23:54:36+01:00
F:/2025/arezzo/PXL_20250620_180710568.MP.jpg,PXL_20250620_180710568.MP.jpg,2025:06:20 20:07:10,2025:06:20 20:07:10,2025:06:20 20:07:10,2026:01:17 23:53:20+01:00
F:/2025/arezzo/PXL_20250620_203755879.mp4,PXL_20250620_203755879.mp4,,2025:06:20 20:38:02,2025:06:20 20:38:02,2026:01:17 23:55:00+01:00
F:/2025/arezzo/PXL_20250620_223508548.mp4,PXL_20250620_223508548.mp4,2025:06:20 22:35:08,2025:06:20 22:35:08,2025:06:20 22:35:08,2025:06:20 22:35:10+02:00
F:/2025/arezzo/VID-20250731-WA0061.mp4,VID-20250731-WA0061.mp4,2025:07:31 12:00:00,2025:07:31 12:00:00,2025:07:31 12:00:00,2025:07:31 12:00:02+02:00
F:/2025/arezzo/PXL_20250620_234601545.MP.jpg,PXL_20250620_234601545.MP.jpg,2025:06:20 23:46:01,2025:06:20 23:46:01,2025:06:21 01:46:01,2025:06:20 00:00:00+02:00
F:/2025/arezzo/PXL_20250621_003055676.mp4,PXL_20250621_003055676.mp4,,2025:06:21 00:30:55,2025:06:21 00:30:55,2025:06:21 00:00:00+02:00
F:/2025/arezzo/PXL_20250621_015749164.NIGHT.jpg,PXL_20250621_015749164.NIGHT.jpg,2025:06:21 01:57:49,2025:06:21 01:57:49,2025:06:21 03:57:49,2025:06:21 00:00:00+02:00
F:/2025/arezzo/PXL_20250621_145106467.mp4,PXL_20250621_145106467.mp4,,2025:06:21 14:51:06,2025:06:21 14:51:06,2025:06:21 00:00:00+02:00
F:/2025/arezzo/PXL_20250621_173425485.mp4,PXL_20250621_173425485.mp4,,2025:06:21 17:34:25,2025:06:21 17:34:25,2025:06:21 00:00:00+02:00
F:/2025/arezzo/PXL_20250622_150601086.MP.jpg,PXL_20250622_150601086.MP.jpg,2025:06:22 15:06:01,2025:06:22 15:06:01,2025:06:22 17:06:01,2025:06:22 00:00:00+02:00
F:/2025/arezzo/PXL_20250622_1348226551.mp4,PXL_20250622_1348226551.mp4,,2025:06:22 13:48:22,2025:06:22 13:48:22,2025:06:22 00:00:00+02:00
